"ë [nm]","ôi","","ë [nm]","ôi","","ë [nm]","ôi","","ë [nm]","ôi","","ë [nm]","ôi","","ë [nm]","ôi"
"200","<  1.0E-05","","500","<  1.0E-05","","800","2.5E-01","","1100","4.7E-02","","2200","7.0E-02","","3700","2.1E-01"
"210","<  1.0E-05","","510","<  1.0E-05","","810","2.2E-01","","1110","4.5E-02","","2250","8.1E-02","","3750","2.2E-01"
"220","<  1.0E-05","","520","<  1.0E-05","","820","1.9E-01","","1120","4.3E-02","","2300","9.5E-02","","3800","2.4E-01"
"230","<  1.0E-05","","530","<  1.0E-05","","830","1.6E-01","","1130","4.1E-02","","2350","1.1E-01","","3850","2.6E-01"
"240","<  1.0E-05","","540","<  1.0E-05","","840","1.4E-01","","1140","3.9E-02","","2400","1.2E-01","","3900","2.8E-01"
"250","<  1.0E-05","","550","<  1.0E-05","","850","1.2E-01","","1150","3.7E-02","","2450","1.3E-01","","3950","2.9E-01"
"260","<  1.0E-05","","560","<  1.0E-05","","860","1.1E-01","","1160","3.6E-02","","2500","1.4E-01","","4000","2.9E-01"
"270","2.5E-05","","570","<  1.0E-05","","870","9.8E-02","","1170","3.4E-02","","2550","1.5E-01","","4050","2.9E-01"
"280","3.7E-03","","580","<  1.0E-05","","880","8.9E-02","","1180","3.2E-02","","2600","1.6E-01","","4100","2.9E-01"
"290","4.8E-02","","590","<  1.0E-05","","890","8.3E-02","","1190","3.1E-02","","2650","1.7E-01","","4150","2.9E-01"
"300","1.8E-01","","600","<  1.0E-05","","900","7.8E-02","","1200","3.0E-02","","2700","1.8E-01","","4200","2.9E-01"
"310","3.7E-01","","610","<  1.0E-05","","910","7.3E-02","","1250","2.6E-02","","2750","1.5E-01","","4250","2.9E-01"
"320","5.4E-01","","620","<  1.0E-05","","920","6.9E-02","","1300","2.9E-02","","2800","1.2E-01","","4300","2.8E-01"
"330","6.7E-01","","630","<  1.0E-05","","930","6.7E-02","","1350","3.2E-02","","2850","1.2E-01","","4350","2.5E-01"
"340","7.6E-01","","640","<  1.0E-05","","940","6.5E-02","","1400","3.3E-02","","2900","1.3E-01","","4400","2.2E-01"
"350","8.1E-01","","650","<  1.0E-05","","950","6.3E-02","","1450","3.1E-02","","2950","1.4E-01","","4450","1.9E-01"
"360","8.3E-01","","660","<  1.0E-05","","960","6.2E-02","","1500","3.0E-02","","3000","1.4E-01","","4500","1.5E-01"
"370","8.1E-01","","670","<  1.0E-05","","970","6.1E-02","","1550","3.2E-02","","3050","1.4E-01","","4550","1.1E-01"
"380","6.9E-01","","680","1.2E-04","","980","6.1E-02","","1600","3.4E-02","","3100","1.5E-01","","4600","8.0E-02"
"390","4.2E-01","","690","4.0E-03","","990","6.1E-02","","1650","3.2E-02","","3150","1.5E-01","","4650","5.5E-02"
"400","1.2E-01","","700","4.7E-02","","1000","6.1E-02","","1700","2.8E-02","","3200","1.5E-01","","4700","4.0E-02"
"410","1.3E-02","","710","1.6E-01","","1010","6.1E-02","","1750","2.3E-02","","3250","1.6E-01","","4750","2.8E-02"
"420","6.1E-04","","720","2.9E-01","","1020","6.0E-02","","1800","2.0E-02","","3300","1.6E-01","","4800","2.0E-02"
"430","2.3E-05","","730","3.8E-01","","1030","6.0E-02","","1850","2.2E-02","","3350","1.7E-01","","4850","1.4E-02"
"440","<  1.0E-05","","740","4.5E-01","","1040","5.9E-02","","1900","2.6E-02","","3400","1.7E-01","","4900","1.1E-02"
"450","<  1.0E-05","","750","4.7E-01","","1050","5.7E-02","","1950","3.0E-02","","3450","1.8E-01","","4950","8.4E-03"
"460","<  1.0E-05","","760","4.3E-01","","1060","5.6E-02","","2000","3.6E-02","","3500","1.8E-01","","5000","6.3E-03"
"470","<  1.0E-05","","770","3.6E-01","","1070","5.4E-02","","2050","4.3E-02","","3550","1.9E-01","","5050","4.1E-03"
"480","<  1.0E-05","","780","3.1E-01","","1080","5.1E-02","","2100","5.0E-02","","3600","2.0E-01","","5100","2.3E-03"
"490","<  1.0E-05","","790","2.8E-01","","1090","4.9E-02","","2150","5.9E-02","","3650","2.1E-01","","5150","1.2E-03"
