"ë [nm]","ôi","","ë [nm]","ôi","","ë [nm]","ôi","","ë [nm]","ôi","","ë [nm]","ôi","","ë [nm]","ôi"
"200","<  1.0E-05","","500","9.9E-01","","800","1.0E+00","","1100","1.0E+00","","2200","9.7E-01","","3700","2.0E-01"
"210","<  1.0E-05","","510","9.9E-01","","810","1.0E+00","","1110","1.0E+00","","2250","9.7E-01","","3750","2.2E-01"
"220","<  1.0E-05","","520","9.9E-01","","820","1.0E+00","","1120","1.0E+00","","2300","9.7E-01","","3800","2.4E-01"
"230","<  1.0E-05","","530","9.9E-01","","830","1.0E+00","","1130","1.0E+00","","2350","9.7E-01","","3850","2.4E-01"
"240","<  1.0E-05","","540","1.0E+00","","840","1.0E+00","","1140","1.0E+00","","2400","9.6E-01","","3900","2.2E-01"
"250","<  1.0E-05","","550","1.0E+00","","850","1.0E+00","","1150","1.0E+00","","2450","9.6E-01","","3950","2.0E-01"
"260","<  1.0E-05","","560","1.0E+00","","860","1.0E+00","","1160","1.0E+00","","2500","9.5E-01","","4000","1.9E-01"
"270","<  1.0E-05","","570","1.0E+00","","870","1.0E+00","","1170","1.0E+00","","2550","9.4E-01","","4050","1.7E-01"
"280","<  1.0E-05","","580","1.0E+00","","880","1.0E+00","","1180","1.0E+00","","2600","9.4E-01","","4100","1.5E-01"
"290","<  1.0E-05","","590","1.0E+00","","890","1.0E+00","","1190","1.0E+00","","2650","9.3E-01","","4150","1.3E-01"
"300","9.6E-03","","600","1.0E+00","","900","1.0E+00","","1200","1.0E+00","","2700","8.5E-01","","4200","1.1E-01"
"310","1.6E-01","","610","1.0E+00","","910","1.0E+00","","1250","1.0E+00","","2750","4.0E-01","","4250","8.4E-02"
"320","5.1E-01","","620","1.0E+00","","920","1.0E+00","","1300","1.0E+00","","2800","3.3E-01","","4300","6.0E-02"
"330","7.7E-01","","630","1.0E+00","","930","1.0E+00","","1350","1.0E+00","","2850","3.6E-01","","4350","3.9E-02"
"340","9.0E-01","","640","1.0E+00","","940","1.0E+00","","1400","1.0E+00","","2900","3.9E-01","","4400","2.2E-02"
"350","9.5E-01","","650","1.0E+00","","950","1.0E+00","","1450","1.0E+00","","2950","4.1E-01","","4450","1.0E-02"
"360","9.7E-01","","660","1.0E+00","","960","1.0E+00","","1500","1.0E+00","","3000","4.2E-01","","4500","4.0E-03"
"370","9.8E-01","","670","1.0E+00","","970","1.0E+00","","1550","1.0E+00","","3050","4.2E-01","","4550","1.3E-03"
"380","9.9E-01","","680","1.0E+00","","980","1.0E+00","","1600","1.0E+00","","3100","4.2E-01","","4600","4.1E-04"
"390","9.9E-01","","690","1.0E+00","","990","1.0E+00","","1650","1.0E+00","","3150","4.2E-01","","4650","1.2E-04"
"400","9.9E-01","","700","1.0E+00","","1000","1.0E+00","","1700","1.0E+00","","3200","4.1E-01","","4700","4.2E-05"
"410","9.9E-01","","710","1.0E+00","","1010","1.0E+00","","1750","1.0E+00","","3250","4.0E-01","","4750","1.4E-05"
"420","9.9E-01","","720","1.0E+00","","1020","1.0E+00","","1800","1.0E+00","","3300","3.9E-01","","4800","<  1.0E-05"
"430","9.9E-01","","730","1.0E+00","","1030","1.0E+00","","1850","1.0E+00","","3350","3.7E-01","","4850","<  1.0E-05"
"440","9.9E-01","","740","1.0E+00","","1040","1.0E+00","","1900","1.0E+00","","3400","3.5E-01","","4900","<  1.0E-05"
"450","9.9E-01","","750","1.0E+00","","1050","1.0E+00","","1950","9.9E-01","","3450","3.1E-01","","4950","<  1.0E-05"
"460","9.9E-01","","760","1.0E+00","","1060","1.0E+00","","2000","9.9E-01","","3500","2.7E-01","","5000","<  1.0E-05"
"470","9.9E-01","","770","1.0E+00","","1070","1.0E+00","","2050","9.9E-01","","3550","2.3E-01","","5050","<  1.0E-05"
"480","9.9E-01","","780","1.0E+00","","1080","1.0E+00","","2100","9.8E-01","","3600","2.1E-01","","5100","<  1.0E-05"
"490","9.9E-01","","790","1.0E+00","","1090","1.0E+00","","2150","9.8E-01","","3650","2.0E-01","","5150","<  1.0E-05"
